id,title,genres,overview,tagline,cast,crew
5,Four Rooms,"['Crime', 'Comedy']",it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another.,"twelve outrageous guests. four scandalous requests. and one lone bellhop, in his first day on the job, who's in for the wildest new year's eve of his life.","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei']","['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']"
9273,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']","summoned from an ashram in tibet, ace finds himself on a perilous journey into the jungles of africa to find shikaka, the missing sacred animal of the friendly wachati tribe. he must accomplish this before the wedding of the wachati's princess to the prince of the warrior wachootoos. if ace fails, the result will be a vicious tribal war.",new animals. new adventures. same hair.,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']",['Steve Oedekerk']
11517,Money Train,"['Action', 'Comedy', 'Crime']","a vengeful new york transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","get on, or get out the way!","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper']",['Joseph Ruben']
8012,Get Shorty,"['Comedy', 'Thriller', 'Crime']","chili palmer is a miami mobster who gets sent by his boss, the psychopathic ""bones"" barboni, to collect a bad debt from harry zimm, a hollywood producer who specializes in cheesy horror films. when chili meets harry's leading lady, the romantic sparks fly. after pitching his own life story as a movie idea, chili learns that being a mobster and being a hollywood producer really aren't all that different.","the mob is tough, but it’s nothing like show business.","['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']",['Barry Sonnenfeld']
1710,Copycat,"['Drama', 'Thriller']",an agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"one man is copying the most notorious killers in history one at a time. together, two women must stop him from killing again. or they're next.","['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.']",['Jon Amiel']
9691,Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']","assassin robert rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. horrified by the murder of innocent bystanders, rath decides to take one last job and then return to civilian life. but finding his way out of the world of contract killing grows ever more dangerous as rath falls for his female target and becomes a marked man himself.","in the shadows of life, in the business of death, one man found a reason to live...","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']",['Richard Donner']
451,Leaving Las Vegas,"['Drama', 'Romance']","ben sanderson, an alcoholic hollywood screenwriter who lost everything because of his drinking, arrives in las vegas to drink himself to death. there, he meets and forms an uneasy friendship and non-interference pact with prostitute sera.",i love you... the way you are.,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber']",['Mike Figgis']
902,The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']","a scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",where happily ever after is just a dream.,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus']","['Jean-Pierre Jeunet', 'Marc Caro']"
9909,Dangerous Minds,"['Drama', 'Crime']","former marine louanne johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. after having a terrible first day, she decides she must throw decorum to the wind. when johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",she broke the rules... and changed their lives.,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville']",['John N. Smith']
63,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']","in the year 2035, convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. but when cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. there he meets psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the army of the 12 monkeys, thought to be responsible for unleashing the killer disease.",the future is history.,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",['Terry Gilliam']
9598,Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']","babe is a little pig who doesn't quite know his place in the world. with a bunch of odd friends, like ferdinand the duck who thinks he is a rooster and fly the dog he calls mom, babe realizes that he has the makings to become the greatest sheep pig of all time, and farmer hogget knows it. with the help of the sheep dogs babe learns that a pig can be anything that he wants to be.",a little pig goes a long way.,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']",['Chris Noonan']
687,Dead Man Walking,['Drama'],a justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. susan sarandon won an oscar for best female actress for her convincing portrayal of sister helen prejean.,unknown,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",['Tim Robbins']
9603,Clueless,"['Comedy', 'Drama', 'Romance']","shallow, rich and socially successful cher is at the top of her beverly hills high school's pecking scale. seeing herself as a matchmaker, cher first coaxes two teachers into dating each other. emboldened by her success, she decides to give hopelessly klutzy new student tai a makeover. when tai becomes more popular than she is, cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",sex. clothes. popularity. is there a problem here?,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison']",['Amy Heckerling']
9312,Mortal Kombat,"['Action', 'Fantasy']","for nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. if he wins a tenth mortal kombat tournament, desolation and evil will reign over the multiverse forever. to save earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",nothing in this world has prepared you for this.,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson']",['Paul W.S. Anderson']
577,To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. a very dark comedy from independent director gus van sant with a brilliant nicole kidman in the leading role.",all she wanted was a little attention.,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas']",['Gus Van Sant']
807,Se7en,"['Crime', 'Mystery', 'Thriller']","two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case.",seven deadly sins. seven ways to die.,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley', 'Kevin Spacey']",['David Fincher']
10530,Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']","history comes gloriously to life in disney's epic animated tale about love and adventure in the new world. pocahontas is a native american woman whose father has arranged for her to marry her village's best warrior. but a vision tells her change is coming, and soon she comes face to face with it in the form of capt. john smith.",an american legend comes to life.,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means']","['Mike Gabriel', 'Eric Goldberg']"
629,The Usual Suspects,"['Drama', 'Crime', 'Thriller']","held in an l.a. interrogation room, verbal kint attempts to convince the feds that a mythic crime lord, keyser soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in san pedro harbor – leaving few survivors. verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",five criminals. one line up. no coincidence.,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak', 'Pete Postlethwaite']",['Bryan Singer']
11010,The Postman,"['Comedy', 'Drama', 'Romance']",simple italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty beatrice.,unknown,"['Philippe Noiret', 'Massimo Troisi', 'Maria Grazia Cucinotta', 'Renato Scarpa', 'Linda Moretti']",['Michael Radford']
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],"when ashtray (shawn wayans) moves to south central l.a. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin loc dog (marlon wayans), who along with the requisite pistols and uzi carries a thermo-nuclear warhead for self-defense. will ashtray be able to keep living the straight life?","finally, the movie that proves that justice isn't always poetic, jungle fever isn't always pretty, and higher learning can be a waste of time.","['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones', 'Chris Spencer', 'Vivica A. Fox']",['Paris Barclay']
10634,Friday,['Comedy'],"craig and smokey are two guys in los angeles hanging out on their porch on a friday afternoon, smoking and drinking, looking for something to do.",a lot can go down between thursday and saturday...,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.', 'John Witherspoon']",['F. Gary Gray']
755,From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']","seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas. they escape across the border into mexico and will be home-free the next morning, when they pay off the local kingpin. they just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a hell of a strip joint.",one night is all that stands between them and freedom. but it's going to be a hell of a night.,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu']",['Robert Rodriguez']
9102,Screamers,"['Horror', 'Science Fiction']","(sirius 6b, year 2078) on a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",the last scream you hear will be your own.,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin', 'Andrew Lauer', 'Liliana Komorowska']",['Christian Duguay']
2086,Nick of Time,"['Crime', 'Drama', 'Thriller']","gene watson is a public accountant who arrives on a train at union station in los angeles, accompanied by his 6-year-old daughter lynn. because of his ordinary looks, he is approached by a pair of sinister people named smith and jones.",unknown,"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton', 'Christopher Walken', 'Roma Maffia']",['John Badham']
9208,Broken Arrow,"['Action', 'Adventure', 'Drama', 'Thriller']","when rogue stealth-fighter pilot vic deakins deliberately drops off the radar while on maneuvers, the air force ends up with two stolen nuclear warheads -- and deakins's co-pilot, riley hale, is the military's only hope for getting them back. traversing the deserted canyons of utah, hale teams with park ranger terry carmichael to put deakins back in his box.",prepare to go ballistic.,"['John Travolta', 'Christian Slater', 'Samantha Mathis', 'Delroy Lindo', 'Bob Gunton']",['John Woo']
406,La Haine,['Drama'],"aimlessly whiling away their days in the concrete environs of their dead-end suburbia, vinz, hubert, and said -- a jew, african, and an arab -- give human faces to france's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. la haine means hate.",three young friends... one last chance.,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili', 'Souleymane Dicko']",['Mathieu Kassovitz']
13685,Bottle Rocket,"['Comedy', 'Crime', 'Drama']","upon his release from a mental hospital following a nervous breakdown, the directionless anthony joins his friend dignan, who seems far less sane than the former. dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary mr. henry.","they're not really criminals, but everyone's got to have a dream.","['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos', 'Andrew Wilson', 'Robert Musgrave']",['Wes Anderson']
9614,Happy Gilmore,['Comedy'],"failed hockey player-turned-golf whiz happy gilmore -- whose unconventional approach and antics on the grass courts the ire of rival shooter mcgavin -- is determined to win a pga tournament so he can save his granny's house with the prize money. meanwhile, an attractive tour publicist tries to soften happy's image.",he doesn't play golf... he destroys it.,"['Adam Sandler', 'Ben Stiller', 'Christopher McDonald', 'Julie Bowen', 'Frances Bay']",['Dennis Dugan']
688,The Bridges of Madison County,"['Drama', 'Romance']",photographer robert kincaid wanders into the life of housewife francesca johnson for four days in the 1960s.,the path of francesca johnson's future seems destined due to an unexpected fork in the road...,"['Meryl Streep', 'Clint Eastwood', 'Annie Corley', 'Victor Slezak', 'Jim Haynie']",['Clint Eastwood']
197,Braveheart,"['Action', 'Drama', 'History', 'War']","enraged at the slaughter of murron, his new bride and childhood love, scottish warrior william wallace slays a platoon of the local english lord's soldiers. this leads the village to revolt and, eventually, the entire country to rise up against english rule.",every man dies. not every man truly lives.,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",['Mel Gibson']
103,Taxi Driver,"['Crime', 'Drama']","a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","on every street in every city, there's a nobody who dreams of being a somebody.","['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel', 'Jodie Foster', 'Peter Boyle']",['Martin Scorsese']
33542,Rumble in the Bronx,"['Crime', 'Action', 'Comedy', 'Thriller']","keong comes from hong kong to visit new york for his uncle's wedding. his uncle runs a market in the bronx and keong offers to help out while uncle is on his honeymoon. during his stay in the bronx, keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. one of those petty thugs in the local gang stumbles into a criminal situation way over his head.",no fear. no stuntman. no equal.,"['Jackie Chan', 'Anita Mui', 'Françoise Yip', 'Bill Tung', 'Marc Akerstream']",['Stanley Tong']
11104,Chungking Express,"['Drama', 'Comedy', 'Romance']","every day, cop 223 buys a can of pineapple with an expiration date of may 1, symbolizing the day he'll get over his lost love. he's also got his eye on a mysterious woman in a blond wig, oblivious of the fact she's a drug dealer. cop 663 is distraught with heartbreak over a breakup. but when his ex drops a spare set of his keys at a local cafe, a waitress lets herself into his apartment and spruces up his life.",what a difference a day makes,"['Brigitte Lin', 'Tony Leung Chiu-Wai', 'Faye Wong', 'Takeshi Kaneshiro', 'Valerie Chow']",['Wong Kar-wai']
11000,The Birdcage,['Comedy'],a gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's right-wing moralistic parents.,come as you are.,"['Robin Williams', 'Gene Hackman', 'Nathan Lane', 'Dianne Wiest', 'Grant Heslov']",['Mike Nichols']
9737,Bad Boys,"['Action', 'Comedy', 'Crime', 'Thriller']","marcus burnett is a hen-pecked family man. mike lowry is a foot-loose and fancy free ladies' man. both are miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. to complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",whatcha gonna do?,"['Will Smith', 'Martin Lawrence', 'Téa Leoni', 'Tchéky Karyo', 'Joe Pantoliano']",['Michael Bay']
10474,The Basketball Diaries,"['Drama', 'Crime']",film adaptation of street tough jim carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.,the true story of the death of innocence and the birth of an artist.,"['Leonardo DiCaprio', 'Lorraine Bracco', 'James Madio', 'Mark Wahlberg', 'Bruno Kirby']",['Scott Kalvert']
568,Apollo 13,['Drama'],"the true story of technical troubles that scuttle the apollo 13 lunar mission in 1971, risking the lives of astronaut jim lovell and his crew, with the failed journey turning into a thrilling saga of heroism. drifting more than 200,000 miles from earth, the astronauts work furiously with the ground crew to avert tragedy.","houston, we have a problem.","['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise', 'Ed Harris']",['Ron Howard']
11780,Rob Roy,['Adventure'],"in the highlands of scotland in the 1700s, rob roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. when the money is stolen, rob is forced into a robin hood lifestyle to defend his family and honour.",honor made him a man. courage made him a hero. history made him a legend.,"['Liam Neeson', 'Jessica Lange', 'John Hurt', 'Tim Roth', 'Eric Stoltz']",['Michael Caton-Jones']
414,Batman Forever,"['Action', 'Crime', 'Fantasy']","the dark knight of gotham city confronts a dastardly duo: two-face and the riddler. formerly district attorney harvey dent, two-face believes batman caused the courtroom accident which left him disfigured on one side. and edward nygma, computer-genius and former employee of millionaire bruce wayne, is out to get the philanthropist; as the riddler. former circus acrobat dick grayson, his family killed by two-face, becomes wayne's ward and batman's new partner robin.","courage now, truth always...","['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell""]",['Joel Schumacher']
649,Belle de Jour,"['Drama', 'Romance']","beautiful young housewife séverine serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband pierre. when her lovestruck friend henri mentions a secretive high-class brothel run by madame anais, séverine begins to work there during the day under the name belle de jour. but when one of her clients grows possessive, she must try to go back to her normal life.",luis bunuel's masterpiece of erotica!,"['Catherine Deneuve', 'Michel Piccoli', 'Jean Sorel', 'Geneviève Page', 'Pierre Clémenti']",['Luis Buñuel']
8839,Casper,"['Fantasy', 'Comedy', 'Family']","furious that her late father only willed her his gloomy-looking mansion rather than his millions, carrigan crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. but when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. determined to get her hands on this hidden fortune, she hires afterlife therapist dr. james harvey to exorcise the ghosts from the mansion. harvey and his daughter kat move in, and soon kat meets casper, the ghost of a young boy who's ""the friendliest ghost you know."" but not so friendly are casper's uncles--stretch, fatso and stinkie--who are determined to drive all ""fleshies"" away.",get an afterlife,"['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty', 'Eric Idle', 'Joe Nipote']",['Brad Silberling']
10329,Congo,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction']","eight people embark on an expedition into the congo, a mysterious expanse of unexplored africa where human greed and the laws of nature have gone berserk. when the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",where you are the endangered species.,"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson', 'Tim Curry', 'Grant Heslov']",['Frank Marshall']
8963,Crimson Tide,"['Action', 'Thriller', 'Drama']","on a us nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",danger runs deep.,"['Denzel Washington', 'Gene Hackman', 'Matt Craven', 'George Dzundza', 'Viggo Mortensen']",['Tony Scott']
8068,Desperado,"['Thriller', 'Action', 'Crime']",a gunslinger is embroiled in a war with a local drug runner.,"when the smoke clears, it just means he's reloading.","['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida', 'Cheech Marin', 'Steve Buscemi']",['Robert Rodriguez']
1572,Die Hard: With a Vengeance,"['Action', 'Thriller']","new york detective john mcclane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian zeus carver to prevent the loss of innocent lives. mcclane thought he'd seen it all, until a genius named simon engages mcclane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",think fast. look alive. die hard.,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene', 'Colleen Camp']",['John McTiernan']
6520,First Knight,"['Action', 'Adventure', 'Drama', 'Romance']","the timeless tale of king arthur and the legend of camelot are retold in this passionate period drama. arthur is reluctant to hand the crown to lancelot, and guinevere is torn between her loyalty to her husband and her growing love for his rival. but lancelot must balance his loyalty to the throne with the rewards of true love.",their greatest battle would be for her love.,"['Sean Connery', 'Richard Gere', 'Julia Ormond', 'Ben Cross', 'Liam Cunningham']",['Jerry Zucker']
10428,Hackers,"['Action', 'Crime', 'Thriller', 'Drama']","along with his new friends, a teenager who was arrested by the us secret service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the secret service and the evil computer genius behind the virus.","there is no right or wrong, only fun and boring","['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford', 'Matthew Lillard', 'Renoly Santiago']",['Iain Softley']
9886,Johnny Mnemonic,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']","a data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the yakuza.  in a dystopian 2021, johnny (keanu reeves) is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. on one delivery run, he accepts a package that not only exceeds the implant's safety limits - and will kill him if the data is not removed in time - but also contains information far more important and valuable than he had ever imagined. on a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",the hottest data on earth. in the coolest head in town.,"['Keanu Reeves', 'Dina Meyer', 'Takeshi Kitano', 'Ice-T', 'Dolph Lundgren']",['Robert Longo']
9482,Judge Dredd,['Science Fiction'],"in a dystopian future, dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.","in the future, one man is the law.","['Sylvester Stallone', 'Diane Lane', 'Armand Assante', 'Rob Schneider', 'Jürgen Prochnow']",['Danny Cannon']
9344,Kids,"['Drama', 'Crime']","a controversial portrayal of teens in new york city which exposes a deeply disturbing world of sex and substance abuse. the film focuses on a sexually reckless, freckle-faced boy named telly, whose goal is to have sex with as many different girls as he can. when jenny, a girl who has had sex only once, tests positive for hiv, she knows she contracted the disease from telly. when jenny discovers that telly's idea of ""safe sex"" is to only have sex with virgins, and is continuing to pass the disease onto other unsuspecting girls, jenny makes it her business to try to stop him.",unknown,"['Leo Fitzpatrick', 'Rosario Dawson', 'Chloë Sevigny', 'Justin Pierce', 'Sajan Bhagat']",['Larry Clark']
2293,Mallrats,"['Romance', 'Comedy']","both dumped by their girlfriends, two best friends seek refuge in the local mall.",they're not there to shop. they're not there to work. they're just there.,"['Jason Lee', 'Jeremy London', 'Shannen Doherty', 'Claire Forlani', 'Ben Affleck']",['Kevin Smith']
9070,Mighty Morphin Power Rangers: The Movie,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']","power up with six incredible teens who out-maneuver and defeat evil everywhere as the mighty morphin power ranger, but this time the power rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",the power is on!,"['Amy Jo Johnson', 'Jason David Frank', 'David Yost', 'Johnny Yong Bosch', 'Steve Cardenas']",['Bryan Spicer']
1642,The Net,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']","angela bennett is a freelance software engineer who lives in a world of computer technology. when a cyber friend asks bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. while on vacation in mexico, her purse is stolen. she soon finds that people and events may not be what they seem as she becomes the target of an assassination. her vacation is ruined.  she gets a new passport at the u.s. embassy in mexico but it has the wrong name, ruth marx. when she returns to the u.s. to sort things out, she discovers that ruth marx has an unsavory past and a lengthy  police record. to make matters worse, another person has assumed her real identity ...","no driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... she finds her identity stolen.","['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller', 'Wendy Gazelle', 'Ken Howard']",['Irwin Winkler']
11472,Nine Months,['Comedy'],"when he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",ready or not.,"['Hugh Grant', 'Julianne Moore', 'Tom Arnold', 'Joan Cusack', 'Jeff Goldblum']",['Chris Columbus']
10802,Showgirls,['Drama'],a young drifter named nomi arrives in las vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,beyond your wildest dreams. beyond your wildest fantasies.,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon', 'Glenn Plummer', 'Robert Davi']",['Paul Verhoeven']
